DEA results for the input oriented CCR model

CCR model

DMU name      Input_1     Input_2    output_1    output_2   lambda_ 1   lambda_ 2   lambda_ 3   lambda_ 4   lambda_ 5   lambda_ 6   lambda_ 7   lambda_ 8   lambda_ 9   lambda_10   lambda_11   lambda_12   lambda_13   lambda_14   lambda_15   lambda_16   lambda_17   lambda_18   lambda_19   lambda_20   lambda_21   lambda_22   lambda_23   lambda_24   lambda_25   lambda_26   lambda_27   lambda_28   lambda_29   lambda_30   lambda_31   lambda_32   lambda_33   lambda_34   lambda_35   lambda_36   lambda_37   lambda_38   lambda_39   lambda_40   lambda_41   lambda_42   lambda_43   lambda_44   lambda_45   lambda_46   lambda_47   lambda_48   lambda_49   lambda_50   x_slack_1   x_slack_2   y_slack_1   y_slack_2   Theta
DMU_32        0.79      163.21        1.67        0.29        0.00        0.00        0.00        0.19        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.44 
DMU_33        0.69      170.46        1.59        0.26        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.18        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.46 
DMU_34        0.82      178.37        1.82        0.28        0.00        0.00        0.00        0.24        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.18        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.44 
DMU_35        0.86      227.38        2.07        0.33        0.00        0.00        0.00        0.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.68        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       79.33    0.53 
DMU_36        0.54      192.20        4.62        0.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_37        0.50      171.94        1.36        0.20        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.46 
DMU_38        0.64       59.38        1.69        0.30        0.00        0.00        0.00        0.14        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.59        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.05        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.63 
DMU_39        0.88      193.34        1.94        0.28        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.16        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.42 
DMU_40        0.46      220.73        3.07        0.29        0.00        0.00        0.00        0.62        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.13        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       58.22    0.91 
DMU_41        0.73      200.14        1.85        0.39        0.00        0.00        0.00        0.16        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.19        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.57 
DMU_42        0.66      186.22        1.96        0.42        0.00        0.00        0.00        0.17        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.17        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.68 
DMU_43        0.61      186.45        1.79        0.31        0.00        0.00        0.00        0.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.36        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.57 
DMU_44        0.49      176.09        1.71        0.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_45        0.63      139.70        1.79        0.22        0.00        0.00        0.00        0.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.48 
DMU_46        0.76      220.91        1.77        0.27        0.00        0.00        0.00        0.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.10        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.25        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.42 
DMU_47        0.67      181.17        1.60        0.41        0.00        0.00        0.00        0.07        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.55        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.61 
DMU_48        0.72      178.42        1.87        0.41        0.00        0.00        0.00        0.14        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.61 
DMU_49        0.58      189.93        2.41        0.44        0.00        0.00        0.00        0.30        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.82 
DMU_50        0.38      184.11        1.46        0.20        0.00        0.00        0.00        0.24        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       34.75    0.64 
